Experiment	BigWig	Tissue
ENCSR533VAF	ENCFF642JAQ	heart_female_fetal_147_days
ENCSR536NGW	ENCFF343DLI	heart_male_fetal_96_days
ENCSR540PVZ	ENCFF069XOA	right_renal_pelvis_male_fetal_120_days
ENCSR541AVF	ENCFF513PTG	left_lung_female_fetal_117_days
ENCSR541UPY	ENCFF811DIP	thymus_female_fetal_98_days
ENCSR543YPH	ENCFF818RCP	left_kidney_male_fetal_115_days
ENCSR544KDB	ENCFF876PXE	thymus_male_fetal_113_days
ENCSR545KQR	ENCFF125FVJ	placenta_female_fetal_105_days
ENCSR548MMD	ENCFF755VKW	EH
ENCSR550UWM	ENCFF452NDP	renal_cortex_interstitium_male_fetal_97_days
ENCSR554WUJ	ENCFF763NKA	renal_pelvis_female_fetal_103_days
ENCSR555TFE	ENCFF590ZWP	skin_fibroblast_male_fetal_97_days
ENCSR559WMK	ENCFF933PRJ	tongue_male_fetal_72_days
ENCSR562ACY	ENCFF130CRE	skin_fibroblast_male_fetal_97_days
ENCSR563XRP	ENCFF731BOP	large_intestine_female_fetal_107_days
ENCSR564JUY	ENCFF340IBY	hematopoietic_multipotent_progenitor_cell_male_adult_25_years_treated_with_interleukin-3_kit_ligand_hydrocortisone_succinate_erythropoietin
ENCSR564TUY	ENCFF864PIK	common_myeloid_progenitorCD34-positive_male
ENCSR565EBN	ENCFF126ZAW	small_intestine_female_fetal_98_days
ENCSR569ATD	ENCFF486BYS	CD4-positive_helper_T_cell_male_adult_21_year
ENCSR572LDG	ENCFF160WEC	brain_male_fetal_101_day
ENCSR575VMI	ENCFF655AOK	placenta_female_fetal_101_day_and_male_fetal_105_days
ENCSR579BNV	ENCFF174RSF	esophagus_squamous_epithelium_female_adult_53_years
ENCSR580OAH	ENCFF975LSL	renal_pelvis_male_fetal_91_day
ENCSR582IPV	ENCFF826KJE	lung_fetal_80_days_and_male_fetal_76_days
ENCSR584LUZ	ENCFF309EYE	Ammon's_horn_male_adult_84_years
ENCSR585CGU	ENCFF448ZXO	muscle_of_back_female_fetal_105_days
ENCSR587HPR	ENCFF879EGH	lung_male_fetal_82_days
ENCSR587STM	ENCFF725KTW	skin_fibroblast_male_fetal_97_days
ENCSR588JXI	ENCFF230YKQ	left_renal_cortex_interstitium_male_fetal_105_days
ENCSR592DQC	ENCFF680NAX	sigmoid_colon_male_adult_37_years
ENCSR593LTJ	ENCFF758BTS	trophoblast_cell_fetal_17_weeks_and_fetal_18_weeks
ENCSR594NOE	ENCFF716KNN	RPMI8226
ENCSR594OWA	ENCFF043DTS	small_intestine_male_fetal_91_day
ENCSR595CSH	ENCFF392FDM	brain_fetal_56_days_and_male_fetal_58_days
ENCSR595HZQ	ENCFF918CHT	pancreas_female_adult_30_years
ENCSR600RAA	ENCFF784SPQ	left_kidney_male_fetal_87_days
ENCSR603BXE	ENCFF366XGQ	common_myeloid_progenitorCD34-positive_female_adult_27_years
ENCSR606UAR	ENCFF735FYT	renal_pelvis_female_adult_96_days
ENCSR608AHQ	ENCFF895RHV	stomach_male_fetal_127_days
ENCSR609DDQ	ENCFF514GXK	CD8-positivealpha-beta_T_cell_female_adult_34_years
ENCSR615WIN	ENCFF690EDI	spinal_cord_female_fetal_89_days
ENCSR619BNL	ENCFF037SGR	muscle_of_arm_male_fetal_97_days
ENCSR619DRM	ENCFF502SRF	renal_pelvis_female_fetal_105_days
ENCSR620QNS	ENCFF643YWB	HAP-1
ENCSR620WAR	ENCFF546LCQ	SJSA1
ENCSR622CAH	ENCFF657AFS	muscle_of_leg_male_fetal_127_days
ENCSR626RVD	ENCFF535XHF	bipolar_spindle_neuron_derived_from_induced_pluripotent_stem_cell
ENCSR627KFV	ENCFF355GNS	stomach_female_fetal_147_days
ENCSR627UDJ	ENCFF342SWJ	T-cell_male_adult_36_years
ENCSR628IRM	ENCFF984HMX	T-cell_male_adult_21_year
ENCSR637IGL	ENCFF254MWC	thoracic_segment_muscle_female_fetal_108_days
ENCSR639XWF	ENCFF513VUD	left_lung_male_fetal_96_days
ENCSR639ZJI	ENCFF965EVR	common_myeloid_progenitorCD34-positive_male_adult_23_years
ENCSR643GHI	ENCFF884XML	CD4-positive_helper_T_cell_female_adult_33_years
ENCSR645GJD	ENCFF435PMU	kidney_female_fetal_113_days
ENCSR646BJT	ENCFF609ANH	B_cell_female_adult_43_years
ENCSR648GDP	ENCFF307LNE	skin_fibroblast_male_fetal_97_days
ENCSR648RAX	ENCFF141OAK	placenta_female_fetal_85_days
ENCSR649PJN	ENCFF819LNO	muscle_of_arm_male_fetal_97_days
ENCSR656QYL	ENCFF958XQB	renal_cortex_interstitium_female_fetal_103_days
ENCSR662HMO	ENCFF743FHT	NAMALWA
ENCSR664PKM	ENCFF204CLB	heart_female_fetal_76_days_and_fetal_59_days
ENCSR666YVE	ENCFF217BER	large_intestine_male_fetal_105_days
ENCSR670VQZ	ENCFF562XYP	skin_fibroblast_male_fetal_97_days
ENCSR670ZSA	ENCFF974FRW	right_kidney_male_fetal_96_days
ENCSR672DWH	ENCFF649MDX	small_intestine_male_fetal_115_days
ENCSR674JIL	ENCFF849GUA	CD14-positive_monocyte_male_adult_37_years
ENCSR678ILN	ENCFF569DQU	ELF-1
ENCSR678PDD	ENCFF367OKP	spinal_cord_female_fetal_113_days
ENCSR679IFH	ENCFF689GEP	spleen_fetal_112_days
ENCSR680SDS	ENCFF703UCH	left_lung_female_fetal_107_days
ENCSR682PKY	ENCFF250AHQ	thymus_female_fetal
ENCSR683YLO	ENCFF502JCB	stomach_female_adult_96_days
ENCSR691MQJ	ENCFF754UVV	EL
ENCSR695AUY	ENCFF953YTK	CD14-positive_monocyte_female_adult_34_years
ENCSR696XSJ	ENCFF805AQB	adrenal_gland_female_fetal_113_days
ENCSR698CUE	ENCFF024SNK	muscle_of_back_male_fetal_96_days
ENCSR700ILE	ENCFF713JLY	SJCRH30
ENCSR705CNJ	ENCFF555RMF	heart_male_fetal_72_days_and_male_fetal_76_days
ENCSR706IDL	ENCFF126DHW	midbrain_male_adult_78_years_and_male_adult_84_years
ENCSR712PYJ	ENCFF576JBT	ovary_female_adult_30_years
ENCSR718AAB	ENCFF199IRF	natural_killer_cell_male_adult_37_years
ENCSR723JLG	ENCFF168FEJ	natural_killer_cell_female_adult_34_years
ENCSR724CND	ENCFF566IHI	foreskin_keratinocyte_male_newborn
ENCSR726YMS	ENCFF618TOA	stomach_female_fetal
